koi_disposition,koi_prad,koi_dicco_msky,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_fpflag_co,koi_fittype,koi_dikco_msky
0,13.63,0.52,0,0,1,1,4,12.187
0,19.51,6.055,0,1,0,1,4,5.909
1,3.42,0.37,0,0,0,0,4,0.39
1,2.2,1.09,0,0,0,0,4,1.15
1,3.02,0.62,0,0,0,0,4,0.6
0,36.14,0.016,0,1,0,0,4,0.113
1,2.54,0.09,0,0,0,0,4,0.29
1,2.18,0.45,0,0,0,0,4,0.69
0,0.82,6.82,0,0,0,1,4,7.029
1,3.71,0.5,0,0,0,0,4,0.39
1,1.56,0.1,0,0,0,0,4,0.13
2,5.11,0.287,0,0,0,0,4,0.47
1,2.98,0.19,0,0,0,0,4,0.25
1,4.75,0.2,0,0,0,0,4,0.22
1,2.63,0.23,0,0,0,0,4,0.303
0,29.55,5.48,1,0,1,1,4,5.67
0,43.98,2.489,1,0,0,1,4,2.367
1,2.73,0.75,0,0,0,0,4,0.58
1,4.14,0.84,0,0,0,0,4,0.9
1,2,0.25,0,0,0,0,4,0.25
1,5.99,0.05,0,0,0,0,4,0.08
1,3.42,1.76,0,0,0,0,4,1.37
1,1.17,0.34,0,0,0,0,4,0.21
0,40.35,2.72,0,1,0,0,4,0.232
1,5.17,0.55,0,0,0,0,4,0.103
1,1.95,0.54,0,0,0,0,4,0.3
0,1.25,10.57,0,1,1,1,4,10.64
1,12.05,0.005,0,0,0,0,4,0.135
0,18.66,1.016,0,0,0,1,4,0.787
0,15.25,0.06,1,0,0,0,4,0.24
0,35.8,2.073,0,1,0,1,4,1.945
0,97.36,0.221,0,1,0,0,4,0.17
1,1.38,0.37,0,0,0,0,4,0.46
1,1.58,0.18,0,0,0,0,4,0.11
0,2.74,4.447,0,0,0,1,4,4.53
1,4.56,0.095,0,0,0,0,4,0.11
1,77.76,0.233,0,1,0,0,4,0.017
1,2.74,0.18,0,0,0,0,4,0.15
1,5.34,0.07,0,0,0,0,4,0.09
1,2.9,0.11,0,0,0,0,4,0.32
1,4.91,0.034,0,0,0,0,4,0.177
0,19.68,4.847,0,1,0,0,4,5.128
1,2.01,0.14,0,0,0,0,4,0.05
0,38.98,0.26,1,0,0,0,4,0.18
0,1.17,4.92,0,0,0,1,4,5.19
1,1.65,0.08,0,0,0,0,4,0.57
1,2.05,0.19,0,0,0,0,4,0.78
1,1.87,0.51,0,0,0,0,4,0.57
1,2,0.31,0,0,0,0,4,0.34
0,1.44,2.22,0,0,1,1,4,2.57
2,2.32,0.27,0,0,0,0,4,0.31
1,0.74,0.56,0,0,0,0,4,0.63
0,1.19,11.074,0,0,1,1,4,11.059
1,2.31,0.19,0,0,0,0,4,0.23
0,4.43,0.87,0,1,0,1,4,1.017
1,2.4,0.21,0,0,0,0,4,0.31
1,2.7,0.2,0,0,0,0,4,0.37
0,4.42,7.6,0,1,1,1,4,7.948
0,19.81,0.029,0,1,0,0,4,0.157
0,3.78,4.5,0,0,1,1,4,4.49
0,19.07,0.11,0,1,0,0,4,0.1
1,2.04,0.14,0,0,0,0,4,0.68
1,4.39,0.19,0,0,0,0,4,0.38
2,28.15,0.24,0,0,0,0,4,0.22
2,1.67,1.46,0,0,0,0,4,1.62
2,1.42,0.71,0,0,0,0,4,0.79
1,1.25,1.32,0,0,0,0,4,1.12
1,2.07,0.29,0,0,0,0,4,0.32
1,1.71,0.17,0,0,0,0,4,0.21
1,0.9,0.05,0,0,0,0,4,0.04
1,1.22,0.14,0,0,0,0,4,0.36
1,0.94,0.25,0,0,0,0,4,0.18
1,1.83,0.15,0,0,0,0,4,0.35
1,2.37,0.36,0,0,0,0,4,0.39
0,21.95,0.008,0,1,0,0,4,0.098
1,3.24,0.042,0,0,0,0,4,0.117
2,8.31,0.005,0,0,0,0,4,0.416
1,4.18,0.026,0,0,0,0,4,0.525
1,5.94,0.043,0,0,0,0,4,0.159
1,2.36,0.7,0,0,0,0,4,0.82
0,2.93,1.96,0,0,0,1,4,1.81
1,3.24,0.07,0,0,0,0,4,0.1
0,37.99,8.2,0,0,0,1,4,8.175
1,1.52,0.63,0,0,0,0,4,0.73
0,7.62,0.135,0,1,0,0,4,0.162
2,0.9,0.24,0,0,0,0,4,0.52
1,2.21,0.05,0,0,0,0,4,0.23
0,36.87,6.972,0,1,1,1,4,6.858
1,4.32,0.081,0,0,0,0,4,0.24
0,14.45,0.302,0,1,0,1,4,0.527
0,57.77,0.628,1,0,0,0,4,0.502
2,26.06,0.008,0,0,0,0,4,0.011
0,25.54,2.52,0,0,1,1,4,2.44
0,5.65,0.652,0,1,0,0,4,0.696
1,3.05,0.16,0,0,0,0,4,0.48
1,1.94,0.22,0,0,0,0,4,0.26
1,1.83,0.38,0,0,0,0,4,0.49
1,2.17,0.31,0,0,0,0,4,0.33
1,1.23,0.88,0,0,0,0,4,0.54
1,1.47,0.43,0,0,0,0,4,0.06
0,38.81,0.056,0,1,0,0,4,0.032
0,18.93,7.39,0,0,1,1,4,7.037
